Prd_Nr,Swissmedic_Nr,Swissmedic_Nm,Abgabekategorie
1110449,58868,"Actemra 400 mg/20 ml, Konzentrat zur Herstellung einer Infusionslösung",A
1110447,58868,"Actemra 80 mg/4 ml, Konzentrat zur Herstellung einer Infusionslösung",A
1179152,61467,"Actikerall, Lösung",A
1005494,48313,"Actilyse 10mg, Pulver und Lösungsmittel zur Herstellung einer Injektions-/Infusionslösung",B
1005495,48313,"Actilyse 20mg, Pulver und Lösungsmittel zur Herstellung einer Injektions-/Infusionslösung",B
118090,48313,"Actilyse 50mg, Pulver und Lösungsmittel zur Herstellung einer Injektions-/Infusionslösung",B
1307905,58665,"Actilyse Cathflo 2mg, Pulver zur Herstellung einer Injektionslösung",B
1017738,57002,"Actiq 1200 Mikrogramm, Buccaltabletten",A
1017739,57002,"Actiq 1600 Mikrogramm, Buccaltabletten",A
1017734,57002,"Actiq 200 Mikrogramm, Buccaltabletten",A
1017735,57002,"Actiq 400 Mikrogramm, Buccaltabletten",A
1017736,57002,"Actiq 600 Mikrogramm, Buccaltabletten",A
1017737,57002,"Actiq 800 Mikrogramm, Buccaltabletten",A
71059,54708,"Activelle, Filmtabletten",B
1307115,55495,"Activital forte, Brausepulver",D
111809,55214,"Actonel 35 mg Wochentabletten, Filmtabletten",B
1612256,69144,"Actonel 35 mg, magensaftresistente Tabletten",B
90806,55378,"Actos 15 mg, Tabletten",B
90807,55378,"Actos 30 mg, Tabletten",B
90808,55378,"Actos 45 mg, Tabletten",B
50143,53181,"Acular, Augentropfen",B
1436656,55691,"Acyclovir Zentiva, Crème",B
56894,53668,"Acyclovir-Mepha 200, Tabletten",A
56895,53668,"Acyclovir-Mepha 400, Tabletten",A
56896,53668,"Acyclovir-Mepha 800, Tabletten",A
1512802,68317,"Adacel 0.5 ml, suspension injectable en seringue préremplie",B
1543671,68317,"Adacel 0.5 ml, suspension injectable en seringue préremplie",B
1512801,68110,"Adacel-Polio 0.5 ml, suspension injectable en seringue préremplie",B
1543672,68110,"Adacel-Polio 0.5 ml, suspension injectable en seringue préremplie",B
1014717,56907,"Adartrel 0,25 mg, Filmtabletten",B
1014716,56907,"Adartrel 0,5 mg, Filmtabletten",B
1014718,56907,"Adartrel 2,0 mg, Filmtabletten",B
1233278,62132,"Adcetris, Pulver für ein Konzentrat zur Herstellung einer Infusionslösung",A
